Complexity metrics,Tue, 9 Jan 2018 17:59:07 EST
Method,ev(G),iv(G),v(G)
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.getChatManager()",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.getCurrentTimeStamp()",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.getRemoteAssistant()",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.getRemoteResultsHolder()",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.getRemoteSerializableObject()",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.handleCopyReply(RemoteIntent)",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.handleRemoteAccessResponse(Intent)",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.handleRemoteReply(RemoteIntent,Context)",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.handleStreamFileReply(RemoteIntent,Context)",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.handleStreamReply(RemoteIntent,Context)",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.onReceive(Context,Intent)",2,11,19
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.setChatManager(ChatManager)",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.setRemoteAssistant(RemoteAssistant)",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.setRemoteResultsHolder(RemoteResultsHolder)",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.setRemoteSerializableObject(Object)",1,1,1
"it.polimi.deib.p2pchat.discovery.BasicBroadcastReceiver.writerHandler(byte[])",1,2,2
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.DestinationDeviceTabList()",1,1,1
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.addDeviceIfRequired(P2pDestinationDevice)",4,7,8
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.containsElement(P2pDestinationDevice)",4,4,6
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.getDevice(int)",2,3,3
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.getInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.getSize()",1,1,1
