Lines of code metrics,Tue, 9 Jan 2018 17:51:34 EST
Package,LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec)
"",n/a,"4,250",n/a,"4,250",n/a,0
"it",n/a,"3,768",n/a,"3,768",n/a,0
"it.polimi",n/a,"3,768",n/a,"3,768",n/a,0
"it.polimi.deib",n/a,"3,768",n/a,"3,768",n/a,0
"it.polimi.deib.p2pchat",n/a,"3,768",n/a,"3,768",n/a,0
"it.polimi.deib.p2pchat.discovery","1,475","3,768","1,475","3,768",0,0
"it.polimi.deib.p2pchat.discovery.actionlisteners",168,168,168,168,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages",283,530,283,530,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter",139,139,139,139,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend",108,108,108,108,0,0
"it.polimi.deib.p2pchat.discovery.model",107,107,107,107,0,0
"it.polimi.deib.p2pchat.discovery.services",473,551,473,551,0,0
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement",78,78,78,78,0,0
"it.polimi.deib.p2pchat.discovery.socketmanagers",328,328,328,328,0,0
"it.polimi.deib.p2pchat.discovery.utilities",609,609,609,609,0,0
"layout",366,366,366,366,0,0
"menu",20,20,20,20,0,0
"values",58,58,58,58,0,0
"values-v21",38,38,38,38,0,0

Module,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"PigeonMessanger-defaultcopy",15,0,0,0,0,502,0,0,22,0,0
"app",38,0,"3,768",0,510,"4,317","4,250",0,"3,080","3,014",0

FileType,LOC,NCLOC
"Groovy",53,53
"Java","3,768","2,532"
"Properties",18,7
"Text",470,n/a
"XML",510,510

Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",53,0,"3,768",0,510,"4,819","4,250",0,"3,102","3,014",0

