Lines of code metrics,Tue, 9 Jan 2018 17:54:45 EST
Package,LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec)
"",n/a,"7,221",n/a,"7,221",n/a,0
"it",n/a,"5,587",n/a,"5,587",n/a,0
"it.polimi",n/a,"5,587",n/a,"5,587",n/a,0
"it.polimi.deib",n/a,"5,587",n/a,"5,587",n/a,0
"it.polimi.deib.p2pchat",n/a,"5,587",n/a,"5,587",n/a,0
"it.polimi.deib.p2pchat.discovery","2,705","5,587","2,705","5,587",0,0
"it.polimi.deib.p2pchat.discovery.actionlisteners",168,168,168,168,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages",283,530,283,530,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter",139,139,139,139,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend",108,108,108,108,0,0
"it.polimi.deib.p2pchat.discovery.model",107,107,107,107,0,0
"it.polimi.deib.p2pchat.discovery.services",622,700,622,700,0,0
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement",78,78,78,78,0,0
"it.polimi.deib.p2pchat.discovery.socketmanagers",328,328,328,328,0,0
"it.polimi.deib.p2pchat.discovery.utilities","1,049","1,049","1,049","1,049",0,0
"layout",366,366,366,366,0,0
"lipermi",n/a,"1,152",n/a,"1,152",n/a,0
"lipermi.call",219,219,219,219,0,0
"lipermi.exception",44,44,44,44,0,0
"lipermi.handler",483,664,483,664,0,0
"lipermi.handler.filter",181,181,181,181,0,0
"lipermi.net",225,225,225,225,0,0
"menu",20,20,20,20,0,0
"values",58,58,58,58,0,0
"values-v21",38,38,38,38,0,0

Module,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"PigeonMessanger-defaultremote",15,0,0,0,0,502,0,0,22,0,0
"app",38,0,"6,739",0,511,"7,289","7,221",0,"4,976","4,909",0

FileType,LOC,NCLOC
"Groovy",53,53
"Java","6,739","4,427"
"Properties",18,7
"Text",470,n/a
"XML",511,511

Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",53,0,"6,739",0,511,"7,791","7,221",0,"4,998","4,909",0

