Complexity metrics,Tue, 9 Jan 2018 18:03:52 EST
Method,ev(G),iv(G),v(G)
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.DestinationDeviceTabList()",1,1,1
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.addDeviceIfRequired(P2pDestinationDevice)",4,7,8
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.containsElement(P2pDestinationDevice)",4,4,6
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.getDevice(int)",2,3,3
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.getInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.getSize()",1,1,1
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.indexOfElement(P2pDestinationDevice)",4,4,6
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList.setDevice(int,P2pDestinationDevice)",1,3,3
"it.polimi.deib.p2pchat.discovery.MainActivity.addColorActiveTabs(boolean)",1,3,3
"it.polimi.deib.p2pchat.discovery.MainActivity.closeAndKillSocketHandler()",1,3,3
"it.polimi.deib.p2pchat.discovery.MainActivity.connectP2p(WiFiP2pService)",1,4,4
"it.polimi.deib.p2pchat.discovery.MainActivity.disconnectBecauseOnStop()",1,2,3
"it.polimi.deib.p2pchat.discovery.MainActivity.discoverService()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.forceDisconnectAndStartDiscovery()",1,2,3
"it.polimi.deib.p2pchat.discovery.MainActivity.forceDiscoveryStop()",1,2,2
"it.polimi.deib.p2pchat.discovery.MainActivity.forcedCancelConnect()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.getCurrentTimeStamp()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.getHandler()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.getIndexApiAction()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.getTabFragment()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.getTabNum()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.getToolbar()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.handleMessage(Message)",5,15,16
"it.polimi.deib.p2pchat.discovery.MainActivity.internalStopDiscovery()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.isBlockForcedDiscoveryInBroadcastReceiver()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.manageAddressMessageReception(P2pDestinationDevice)",1,5,5
"it.polimi.deib.p2pchat.discovery.MainActivity.onActivityResult(int,int,Intent)",2,2,4
"it.polimi.deib.p2pchat.discovery.MainActivity.onConnectionInfoAvailable(WifiP2pInfo)",2,3,3
"it.polimi.deib.p2pchat.discovery.MainActivity.onCreate(Bundle)",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.onCreateOptionsMenu(Menu)",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.onOptionsItemSelected(MenuItem)",2,3,6
"it.polimi.deib.p2pchat.discovery.MainActivity.onPause()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.onRestart()",1,3,3
"it.polimi.deib.p2pchat.discovery.MainActivity.onResume()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.onStart()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.onStop()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.reconnectToService(WiFiP2pService)",1,2,2
"it.polimi.deib.p2pchat.discovery.MainActivity.requestContact()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.restartDiscovery()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.sendAddress(String,String,ChatManager)",1,3,3
"it.polimi.deib.p2pchat.discovery.MainActivity.setBlockForcedDiscoveryInBroadcastReceiver(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.setConnected(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.setDeviceNameWithReflection(String)",1,2,2
"it.polimi.deib.p2pchat.discovery.MainActivity.setDisableAllChatManagers()",1,4,4
"it.polimi.deib.p2pchat.discovery.MainActivity.setTabFragmentToPage(int)",1,3,3
"it.polimi.deib.p2pchat.discovery.MainActivity.setToolbar(Toolbar)",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.setupToolBar()",1,2,2
"it.polimi.deib.p2pchat.discovery.MainActivity.startRegistration()",1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.tryToConnectToAService(int)",1,2,2
"it.polimi.deib.p2pchat.discovery.MainActivity.updateServiceAdapter()",1,3,3
"it.polimi.deib.p2pchat.discovery.RicciTestCases.getCopyRemoteIntent()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.SectionsPagerAdapter(FragmentManager)",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.getCount()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.getItem(int)",2,2,2
"it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.getPageTitle(int)",3,3,3
"it.polimi.deib.p2pchat.discovery.TabFragment.TabFragment()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.getChatFragmentByTab(int)",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.getWiFiChatFragmentList()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.getWiFiP2pServicesFragment()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.getmSectionsPagerAdapter()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.getmViewPager()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.isValidTabNum(int)",1,2,2
"it.polimi.deib.p2pchat.discovery.TabFragment.newInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,1
"it.polimi.deib.p2pchat.discovery.WiFiP2pBroadcastReceiver.WiFiP2pBroadcastReceiver(WifiP2pManager,Channel,Activity)",1,1,1
"it.polimi.deib.p2pchat.discovery.WiFiP2pBroadcastReceiver.handleLocalDevice(Intent)",1,1,1
"it.polimi.deib.p2pchat.discovery.WiFiP2pBroadcastReceiver.handleNetworkConnection()",1,1,1
"it.polimi.deib.p2pchat.discovery.WiFiP2pBroadcastReceiver.handleNetworkDisconnection()",1,2,2
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomDnsSdTxtRecordListener.onDnsSdTxtRecordAvailable(String,Map<String, String>,WifiP2pDevice)",1,1,1
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomDnsServiceResponseListener.onDnsSdServiceAvailable(String,String,WifiP2pDevice)",1,4,4
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener.CustomizableActionListener(Context,String,String,String,String,String)",1,1,2
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener.onFailure(int)",1,3,4
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener.onSuccess()",1,3,4
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.WiFiChatFragment()",1,1,1
