Lines of code metrics,Tue, 9 Jan 2018 18:03:20 EST
Package,LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec)
"",n/a,"3,147",n/a,"3,147",n/a,0
"it",n/a,"2,665",n/a,"2,665",n/a,0
"it.polimi",n/a,"2,665",n/a,"2,665",n/a,0
"it.polimi.deib",n/a,"2,665",n/a,"2,665",n/a,0
"it.polimi.deib.p2pchat",n/a,"2,665",n/a,"2,665",n/a,0
"it.polimi.deib.p2pchat.discovery","1,313","2,665","1,313","2,665",0,0
"it.polimi.deib.p2pchat.discovery.actionlisteners",152,152,152,152,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages",250,496,250,496,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter",138,138,138,138,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend",108,108,108,108,0,0
"it.polimi.deib.p2pchat.discovery.model",103,103,103,103,0,0
"it.polimi.deib.p2pchat.discovery.services",454,532,454,532,0,0
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement",78,78,78,78,0,0
"it.polimi.deib.p2pchat.discovery.socketmanagers",37,37,37,37,0,0
"it.polimi.deib.p2pchat.discovery.utilities",32,32,32,32,0,0
"layout",366,366,366,366,0,0
"menu",20,20,20,20,0,0
"values",58,58,58,58,0,0
"values-v21",38,38,38,38,0,0

Module,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"RICCiMessenger copy",15,0,0,0,0,502,0,0,22,0,0
"app",42,0,"2,665",0,516,"3,224","3,147",0,"2,185","2,109",0
"commons-codec-1.10",2,0,0,0,0,2,0,0,2,0,0
"riccilib",2,0,0,0,0,2,0,0,2,0,0

FileType,LOC,NCLOC
"Groovy",61,61
"Java","2,665","1,627"
"Properties",18,7
"Text",470,n/a
"XML",516,516

Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",61,0,"2,665",0,516,"3,730","3,147",0,"2,211","2,109",0

