Lines of code metrics,Tue, 9 Jan 2018 18:01:15 EST
Package,LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec)
"",n/a,"3,272",n/a,"3,272",n/a,0
"it",n/a,"2,782",n/a,"2,782",n/a,0
"it.polimi",n/a,"2,782",n/a,"2,782",n/a,0
"it.polimi.deib",n/a,"2,782",n/a,"2,782",n/a,0
"it.polimi.deib.p2pchat",21,"2,782",21,"2,782",0,0
"it.polimi.deib.p2pchat.discovery","1,351","2,761","1,351","2,761",0,0
"it.polimi.deib.p2pchat.discovery.actionlisteners",152,152,152,152,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages",252,498,252,498,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter",138,138,138,138,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend",108,108,108,108,0,0
"it.polimi.deib.p2pchat.discovery.model",103,103,103,103,0,0
"it.polimi.deib.p2pchat.discovery.services",454,532,454,532,0,0
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement",78,78,78,78,0,0
"it.polimi.deib.p2pchat.discovery.socketmanagers",37,37,37,37,0,0
"it.polimi.deib.p2pchat.discovery.utilities",88,88,88,88,0,0
"layout",374,374,374,374,0,0
"menu",20,20,20,20,0,0
"values",58,58,58,58,0,0
"values-v21",38,38,38,38,0,0

Module,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"RICCiMessenger remote copy",20,0,0,0,0,507,0,0,27,0,0
"app",46,0,"2,782",0,534,"3,363","3,272",0,"2,298","2,211",0
"commons-codec-1.10",2,0,0,0,0,2,0,0,2,0,0
"riccilib",2,0,0,0,0,2,0,0,2,0,0

FileType,LOC,NCLOC
"Groovy",70,69
"Java","2,782","1,721"
"Properties",18,7
"Text",470,n/a
"XML",534,532

Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",70,0,"2,782",0,534,"3,874","3,272",0,"2,329","2,211",0

