Lines of code metrics,Tue, 9 Jan 2018 18:05:17 EST
Package,LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec)
"",n/a,"3,137",n/a,"3,137",n/a,0
"it",n/a,"2,655",n/a,"2,655",n/a,0
"it.polimi",n/a,"2,655",n/a,"2,655",n/a,0
"it.polimi.deib",n/a,"2,655",n/a,"2,655",n/a,0
"it.polimi.deib.p2pchat",n/a,"2,655",n/a,"2,655",n/a,0
"it.polimi.deib.p2pchat.discovery","1,304","2,655","1,304","2,655",0,0
"it.polimi.deib.p2pchat.discovery.actionlisteners",152,152,152,152,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages",249,495,249,495,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter",138,138,138,138,0,0
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend",108,108,108,108,0,0
"it.polimi.deib.p2pchat.discovery.model",103,103,103,103,0,0
"it.polimi.deib.p2pchat.discovery.services",454,532,454,532,0,0
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement",78,78,78,78,0,0
"it.polimi.deib.p2pchat.discovery.socketmanagers",37,37,37,37,0,0
"it.polimi.deib.p2pchat.discovery.utilities",32,32,32,32,0,0
"layout",366,366,366,366,0,0
"menu",20,20,20,20,0,0
"values",58,58,58,58,0,0
"values-v21",38,38,38,38,0,0

Module,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"RICCiMessenger stream copy",15,0,0,0,0,502,0,0,22,0,0
"app",42,0,"2,655",0,515,"3,213","3,137",0,"2,165","2,090",0
"commons-codec-1.10",2,0,0,0,0,2,0,0,2,0,0
"riccilib",2,0,0,0,0,2,0,0,2,0,0

FileType,LOC,NCLOC
"Groovy",61,61
"Java","2,655","1,608"
"Properties",18,7
"Text",470,n/a
"XML",515,515

Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",61,0,"2,655",0,515,"3,719","3,137",0,"2,191","2,090",0

